date,crypto_price,energy_used
2022-06-05,7.365965,39018.39087
2022-06-06,7.57429,40637.44412
2022-06-07,7.3298,41234.59901
2022-06-08,7.18839,39706.32465
2022-06-09,7.224278,38479.68468
2022-06-10,6.819968,39694.68382
2022-06-11,6.094228,37807.94045
2022-06-12,5.714781,37156.49431
2022-06-13,5.314726,36291.60039
2022-06-14,5.488888,38322.48459
2022-06-15,5.846951,37114.72428
2022-06-16,5.288224,40027.13216
2022-06-17,5.340893,42510.19893
2022-06-18,5.108145,42110.84029
2022-06-19,5.476022,39825.37412
2022-06-20,5.469457,41244.13666
2022-06-21,5.95042,41428.82474
2022-06-22,5.532756,41947.23286
2022-06-23,5.797234,41114.66914
2022-06-24,6.117861,42346.73823
2022-06-25,6.083037,39602.48651
2022-06-26,5.831832,39388.74527
2022-06-27,5.777835,42631.05811
2022-06-28,5.505895,45238.84803
2022-06-29,5.438049,44369.01409
2022-06-30,5.388857,42432.91949
2022-07-01,5.311071,39442.54741
2022-07-02,5.336033,36432.5131
2022-07-03,5.310825,34317.55082
2022-07-04,5.558799,30716.81787
2022-07-05,5.492034,23157.46991
2022-07-06,5.575416,17963.26419
2022-07-07,5.80867,13197.86157
2022-07-08,5.735401,17434.7315
2022-07-09,5.806201,19629.76115
2022-07-10,5.484713,20590.12942
2022-07-11,5.191659,22587.46065
2022-07-12,5.081658,26076.28513
2022-07-13,5.297848,25833.39291
2022-07-14,5.361027,25319.28897
2022-07-15,5.228496,24977.69426
2022-07-16,5.386935,24844.31386
2022-07-17,5.688719,23940.82913
2022-07-18,5.987658,26254.27241
2022-07-19,6.056086,24593.40022
2022-07-20,5.581972,24266.52774
2022-07-21,5.632761,25204.05456
2022-07-22,5.486861,25943.19819
2022-07-23,5.583065,24929.71253
2022-07-24,5.648096,22710.08063
2022-07-25,5.236839,22547.50033
2022-07-26,5.307252,21731.12616
2022-07-27,5.64393,21502.76052
2022-07-28,5.935979,22844.34143
2022-07-29,5.957067,22755.76354
2022-07-30,8.047046,21966.87737
2022-07-31,9.83788,21000.7376
2022-08-01,8.811206,21797.98755
2022-08-02,8.15643,22304.6081
2022-08-03,8.091404,20590.52071
2022-08-04,8.09992,20330.11833
2022-08-05,8.344742,23791.8461
2022-08-06,9.464841,23772.08604
2022-08-07,8.782747,21235.90188
2022-08-08,8.712517,22060.19964
2022-08-09,8.041505,22975.56975
2022-08-10,8.293769,22290.52173
2022-08-11,8.360317,21395.05841
2022-08-12,8.755224,21685.54107
2022-08-13,8.347149,21102.22801
2022-08-14,8.238071,17935.97183
2022-08-15,8.473929,19535.80304
2022-08-16,8.427291,20233.32338
2022-08-17,8.176953,20780.9803
2022-08-18,7.490127,19421.25339
2022-08-19,6.472313,20265.50685
2022-08-20,6.249108,20329.58031
2022-08-21,6.415201,19594.05609
2022-08-22,6.318515,19718.24122
2022-08-23,6.376111,20171.30418
2022-08-24,6.276423,19696.13343
2022-08-25,6.363798,21971.32828
2022-08-26,5.646423,23019.58969
2022-08-27,5.830761,21961.15478
2022-08-28,5.615007,20130.31673
2022-08-29,6.021931,20962.39135
2022-08-30,5.706767,22885.67126
2022-08-31,5.744146,22344.56842
2022-09-01,5.769775,23387.64526
2022-09-02,5.830133,21219.32104
2022-09-03,6.518859,21965.85024
2022-09-04,6.263213,20818.25051
2022-09-05,6.129818,20225.8889
2022-09-06,5.60813,19862.23532
2022-09-07,5.853741,18594.02097
2022-09-08,5.861864,19317.80654
2022-09-09,6.384137,19545.29178
2022-09-10,6.363796,18387.56747
2022-09-11,6.404723,19115.99959
2022-09-12,6.54175,19307.38848
2022-09-13,5.934766,20320.09157
2022-09-14,5.959262,20294.31545
2022-09-15,5.714375,21988.05585
2022-09-16,5.823905,21998.13153
2022-09-17,5.912122,21866.16954
