date,storageCapacity,storageCapacityAdded,cumulativeRenewableEnergyPurchase,energyIntensityEstimate,energyConsumptionRateEstimate,energyUsedSealDataEstimate,cumulativeEnergyUseEstimate,energyUsedStoreDataEstimate,close,volume
2021-01-31,2590892716,23313088,171168821.9,28.61520208,69047.24859,35633.35562,172913919.2,8345.783617,22.27236,178044146
2021-02-01,2614566367,23868256,175249587.7,28.95239135,70499.20845,36481.91325,174605901.5,8422.041181,22.609543,443348505
2021-02-02,2637973707,23703936,179330353.5,28.58317325,70223.26766,36230.75506,176291261.3,8497.440905,22.543348,175058405
2021-02-03,2661709198,23395456,183411119.3,28.07808666,69603.04597,35759.25263,177961735.7,8573.897669,23.035694,193594344
2021-02-04,2685208003,23656896,187491885.1,28.13076157,70349.26312,36158.85583,179650119.3,8649.592019,22.882219,209636144
2021-02-05,2709189215,24488032,191572650.9,28.72029773,72465.01824,37429.22227,181389281.2,8726.840299,24.519003,491884502
2021-02-06,2733409097,23805056,195653416.6,27.87012232,70948.56898,36385.31394,183092048.1,8804.857383,24.278181,378556668
2021-02-07,2757722669,24257728,199734182.4,28.09523044,72157.80567,37077.20952,184823836.8,8883.176261,24.080338,272418316
2021-02-08,2781971691,24614400,203814948.2,28.22801995,73136.34491,37622.37197,186579110.5,8961.287211,27.655272,715775677
2021-02-09,2806539776,24560896,207895714,27.97932946,73132.19926,37540.59271,188334284.7,9040.425926,43.764973,3403223723
2021-02-10,2831197681,24483616,211976479.8,27.71260918,73071.45263,37422.47255,190088000.9,9119.85397,39.909206,2802540130
2021-02-11,2855405434,23955040,216057245.6,27.04672645,71925.4554,36614.55999,191814213.2,9197.831984,40.253323,1269328890
2021-02-12,2879563135,24328096,220138011.4,27.19919118,72942.84945,37184.76489,193564842.9,9275.64877,42.785889,1336951368
2021-02-13,2903820387,24348640,224218777.2,27.03557201,73114.82466,37216.16578,195319600.1,9353.786231,41.695164,1228889960
2021-02-14,2928028277,24133248,228299542.9,26.66740237,72720.3751,36886.94557,197064890.4,9431.764686,47.475773,2295182847
2021-02-15,2952677770,24949088,232380308.7,27.20205373,74802.80412,38133.93254,198860159.1,9511.165633,42.972301,2061387407
2021-02-16,2977485794,24993376,236461074.5,27.05897956,75034.54317,38201.62541,200660989.6,9591.07724,41.955551,1059200255
2021-02-17,3002358489,24785088,240541840.3,26.70104358,74660.50317,37883.26346,202452843,9671.197165,43.240036,841212350
2021-02-18,3027064593,24217408,244622606.1,26.04422399,73423.18845,37015.58161,204215000.9,9750.780467,43.432198,667645165
2021-02-19,3051030833,24407072,248703371.9,26.04247332,73999.52884,37305.47734,205990991,9827.980519,43.141293,828571188
2021-02-20,3076333327,25614176,252784137.7,26.88397845,77024.17567,39150.49959,207839572.6,9909.484913,43.265217,1610180337
2021-02-21,3101938824,25611968,256864903.5,26.70505053,77148.37141,39147.12473,209691135,9991.96534,44.788364,871412632
2021-02-22,3127642716,25986912,260945669.3,26.83909899,78178.11562,39720.21538,211567411.2,10074.76272,39.474373,1511820237
2021-02-23,3153864806,26196928,265026435,26.83267936,78814.70313,40041.21854,213458965.5,10159.22931,35.442047,1403444827
2021-02-24,3179829791,26088864,269107200.8,26.57035137,78686.69448,39876.04596,215347447.7,10242.86772,36.671761,1029434272
2021-02-25,3206040129,26333792,273187966.6,26.59437014,79407.00081,40250.41106,217253217.2,10327.29646,34.910561,795545380
2021-02-26,3233231040,27327200,277268732.4,27.20805907,81928.39206,41768.80538,219219500.1,10414.88383,35.106033,838042220
2021-02-27,3259764868,26438304,281349498.2,26.32817085,79929.4993,40410.15451,221137809.6,10500.35459,38.028404,878926954
2021-02-28,3286261353,26042464,285442529.2,25.84930881,79113.60313,39805.12495,223036537.5,10585.70507,35.991943,768904061
2021-03-01,3311817075,25982432,289519509.2,25.64503833,79098.78701,39713.36784,224934909.9,10668.02516,38.432846,789024899
2021-03-02,3338024049,25909152,293596489.3,25.42976528,79055.47326,39601.36156,226832242.7,10752.44307,38.186371,691279882
2021-03-03,3363650787,24820512,297673469.4,24.44346373,76572.66783,37937.40798,228669988.1,10834.99192,42.25827,1502099768
2021-03-04,3391348249,31808416,301968714.7,29.59740394,93481.60032,48618.2096,230913548.3,10924.21098,40.744232,1073737656
2021-03-05,3424160754,32846720,306045694.7,30.14713465,96139.1584,50205.22612,233220889.9,11029.90662,40.551811,764912784
2021-03-06,3456853564,32308672,310122674.8,29.51232902,95013.34257,49382.83589,235501212,11135.2167,40.485287,556059908
2021-03-07,3488956925,32390784,314199654.9,29.35138053,95372.74238,49508.34162,237790159.6,11238.62805,41.532177,507418012
2021-03-08,3521418356,32498432,318276635,29.20963557,95795.23173,49672.87836,240089247,11343.19281,41.543385,525639115
2021-03-09,3553551262,32182976,322353615,28.76587571,95200.73786,49190.71333,242374066.5,11446.69933,41.97176,579999439
2021-03-10,3586193762,32343232,326430595.1,28.66861112,95750.38624,49435.65982,244672077.6,11551.84735,42.632648,799915938
2021-03-11,3618549035,32391520,330507575.2,28.4952093,96029.89266,49509.46657,246976796.8,11656.07015,42.244408,625698261
2021-03-12,3650925883,32737728,334584555.3,28.53500391,97024.42619,50038.63512,249305384.9,11760.36245,44.132339,983852692
2021-03-13,3683991959,33086464,338661535.3,28.57153713,98028.51177,50571.66763,251658071,11866.8749,49.669102,1670579730
2021-03-14,3717038804,32676128,342738515.4,28.0813506,97210.95661,49944.48136,253991135.8,11973.3254,54.541752,2334194125
2021-03-15,3749055741,32239744,346815495.5,27.58799135,96325.68559,49277.48151,256302954.1,12076.45835,53.606438,1660287262
2021-03-16,3781762592,33220192,350892475.5,28.06437403,98843.87243,50776.06687,258675208.9,12181.81366,63.240593,1975742411
2021-03-17,3815326948,33797504,354969455.6,28.25513973,100398.9913,51658.47094,261084786.5,12289.93116,89.26825,5549644898
2021-03-18,3848957359,33117312,359046435.7,27.60035661,98936.81453,50618.81787,263459271.9,12398.26144,79.687279,4208814291
2021-03-19,3882286571,33867616,363123415.8,27.90800058,100905.8728,51765.63503,265881014.8,12505.6215,83.317841,2281146439
2021-03-20,3916529725,34440192,367200395.8,28.08816548,102453.0595,52640.80027,268339890.1,12615.92555,82.451317,1324962175
2021-03-21,3950712925,33613792,371277375.9,27.35314126,100642.8233,51377.67266,270755319.8,12726.03647,80.999252,1042404616
2021-03-22,3984810967,34765536,375354356,27.91028671,103579.1045,53138.07881,273241220.2,12835.87309,76.779648,1255738210
2021-03-23,4018408004,32124704,379431336.1,26.02899956,97411.81523,49101.64632,275579105.6,12944.09586,82.449516,1922118447
2021-03-24,4049073233,30503328,383508316.1,24.84122293,93676.08542,46623.42175,277827333.4,13042.8747,86.365334,2804586284
2021-03-25,4081578441,34201312,387585296.2,27.02113298,102714.5179,52275.67935,280292483.7,13147.58047,90.843285,2890519323
2021-03-26,4115920247,34001440,391662276.3,26.71586166,102408.5618,51970.181,282750291.1,13258.2023,124.072655,4390559188
2021-03-27,4150626674,35022336,395739256.4,27.171636,105033.924,53530.58991,285271107.2,13369.99864,133.18425,5639110564
2021-03-28,4185483644,34644928,399816236.4,26.75823322,104304.5404,52953.7331,287774418.2,13482.27991,125.447052,3054883925
2021-03-29,4220147973,35214304,403893216.5,26.93068327,105846.1782,53824.00723,290314728.4,13593.94065,127.529121,1957347948
2021-03-30,4255598504,35541376,407970196.6,26.94961107,106810.3356,54323.92697,292878178.5,13708.1339,149.664902,3886877718
2021-03-31,4291564191,36421408,412067441.8,27.29763801,109104.0352,55669.02949,295496677.3,13823.98657,191.356552,8140051708
2021-04-01,4327998115,36371040,415979082,27.08356745,109167.4239,55592.04351,298116697.6,13941.34753,188.178619,12367984683
2021-04-02,4364038624,35491040,419890722.1,26.38516506,107237.9569,54246.98991,300690410.5,14057.44122,171.975632,7810199184
2021-04-03,4400351380,37342880,423802362.2,27.29659744,111865.4573,57077.47179,303375183.6,14174.41187,178.852188,4675398993
