date,close,high,low,filecoin_volume,energy_used
2021-01-18,23.729397,24.85626,23.601986,351317651,30859.83376
2021-01-19,22.736326,24.164927,22.736326,324184872,31040.11985
2021-01-20,22.374847,22.937132,21.867928,301437883,30202.51829
2021-01-21,21.293459,22.710815,21.114584,229588791,31180.59236
2021-01-22,22.306198,22.977886,20.907822,435403380,33580.85273
2021-01-23,22.707294,23.496838,22.172731,332639527,33507.04597
2021-01-24,22.759356,23.155008,22.533363,241523529,33690.41346
2021-01-25,22.437037,23.012686,22.416842,196122208,34517.64588
2021-01-26,22.19121,22.608253,21.860765,178373502,34441.49139
2021-01-27,21.462456,22.209881,21.244652,229177546,35632.08393
2021-01-28,21.947098,22.072685,21.36762,155498148,34627.84246
2021-01-29,22.275328,22.887375,21.893538,280008127,35654.5341
2021-01-30,22.059891,22.564692,22.006741,162578510,36110.72737
2021-01-31,22.27236,22.570749,22.049162,178044146,35633.35562
2021-02-01,22.609543,23.930349,22.061123,443348505,36481.91325
2021-02-02,22.543348,22.909431,22.373222,175058405,36230.75506
2021-02-03,23.035694,23.263472,22.460711,193594344,35759.25263
2021-02-04,22.882219,23.248716,22.750761,209636144,36158.85583
2021-02-05,24.519003,25.525002,22.839922,491884502,37429.22227
2021-02-06,24.278181,25.19919,23.899029,378556668,36385.31394
2021-02-07,24.080338,24.595341,23.77667,272418316,37077.20952
2021-02-08,27.655272,28.192448,23.898365,715775677,37622.37197
2021-02-09,43.764973,50.605423,27.146969,3403223723,37540.59271
2021-02-10,39.909206,45.335709,36.375496,2802540130,37422.47255
2021-02-11,40.253323,42.376869,37.374195,1269328890,36614.55999
2021-02-12,42.785889,44.471951,39.491516,1336951368,37184.76489
2021-02-13,41.695164,44.508839,40.431835,1228889960,37216.16578
2021-02-14,47.475773,51.935966,41.287361,2295182847,36886.94557
2021-02-15,42.972301,50.187218,38.023712,2061387407,38133.93254
2021-02-16,41.955551,45.688385,40.40107,1059200255,38201.62541
2021-02-17,43.240036,44.373909,40.543873,841212350,37883.26346
2021-02-18,43.432198,44.270138,42.571133,667645165,37015.58161
2021-02-19,43.141293,43.594906,41.562534,828571188,37305.47734
2021-02-20,43.265217,48.806484,42.50069,1610180337,39150.49959
2021-02-21,44.788364,45.723183,42.633747,871412632,39147.12473
2021-02-22,39.474373,44.779755,33.62347,1511820237,39720.21538
2021-02-23,35.442047,39.490154,32.025864,1403444827,40041.21854
2021-02-24,36.671761,38.152222,34.472389,1029434272,39876.04596
2021-02-25,34.910561,37.48283,34.902279,795545380,40250.41106
2021-02-26,35.106033,36.331436,33.345444,838042220,41768.80538
2021-02-27,38.028404,38.727627,35.120705,878926954,40410.15451
2021-02-28,35.991943,38.300171,34.964233,768904061,39805.12495
2021-03-01,38.432846,39.067604,35.867107,789024899,39713.36784
2021-03-02,38.186371,38.898449,37.286777,691279882,39601.36156
2021-03-03,42.25827,44.26133,38.09164,1502099768,37937.40798
2021-03-04,40.744232,43.20562,39.984585,1073737656,48618.2096
